manga_id,score,user,weight
40171,10,cchigu,58
40171,5,abystoma2,13
40171,8,Isyrawr,25
40171,8,chrono1991,8
40171,10,Sashi123,5
40171,10,Heleted_Dash,1
40171,10,My2Yen,1
40171,10,Sore_Loser,1
55215,1,berganda,1184
55215,10,RadiGen,529
55215,10,HaXXspetten,334
55215,10,castor212,190
55215,10,Sereth,184
55215,10,Tebaldi,129
55215,10,linoras,66
55215,2,Valefor,39
55215,5,kickmesign,45
55215,10,dx349,33
55215,10,zRonin,31
55215,10,Sorrow,29
55215,10,Potatonoob,19
55215,10,falcon12,18
55215,10,SerPounce,17
55215,7,saosurvivor69,17
55215,9,czxcjx,16
55215,10,Noneoftheabove,16
55215,9,BattleHammer,15
55215,10,You,15
55215,10,Shyam_King,3
55215,10,P_a_b_e_r_e,5
55215,10,Raw_Meat,5
55215,10,SteelHard,3
55215,10,pbbuiter,5
55215,10,DevilsxFruit,6
55215,1,nuclearstudent,2
55215,1,Toin_Toin,2
55215,10,wetkancut,6
55215,9,kayyylerbbb,2
55215,10,ProfessorCool,4
55215,5,Xenience,2
55215,2,guerrierogd,1
55215,10,FromZeroToZero,3
55215,10,ANDR345,1
55215,6,TheLegendOfDan,1
55215,9,danterev,2
55215,10,Nickbk201,2
55215,9,TeKSMeLater,1
55215,10,arcsine99,0
651,10,MelonSama,150
651,9,IronBerserk,32
651,10,Otaku1985,5
651,9,zybactik,11
651,8,JephCassidy,7
9115,10,electricjelly,278
9115,10,julfjr,60
9115,7,SuperCheese88,24
9115,10,Yojouhan,11
9115,9,Kelraz,0
104,9,melieon,265
104,8,Bluesnow,132
104,10,LPbomb,47
104,8,Nek0,26
104,8,Nervin,21
104,9,Xiaraith,18
104,9,84DaysWithout,11
104,10,yotsuba99,9
104,10,simplereviewer,4
104,9,anniebananie,8
104,9,DreamerofDreams1,8
104,7,butthurtbrigade,4
104,10,inhumane,5
104,10,SilverGlyph,5
104,9,Sugarsync,5
104,8,MisaTange,4
104,9,ttmuathu,3
104,10,sailorleafy,2
104,8,inkball,2
104,8,RubinP,2
104,9,Fuu-sama,2
104,9,HatchetGirl,1
104,9,saradominsm,0
104,9,failthrowaway,0
104,10,ssiasme,0
104,8,Thedude3445,0
336,10,Noir,185
336,10,h0riz0nLine,102
336,10,alzhu11,31
336,9,AironicallyHuman,30
336,10,lakers61409,19
336,1,jjssyy,7
336,10,FullMetalTroopa,15
336,9,Blacklightcore,6
336,10,Poeticas,5
336,7,Sveznajko,4
336,10,gabunomi,4
336,10,Mr_Spammer,4
336,10,xlrb,2
336,9,Agnusogi,2
336,9,Gwilthyunman,2
336,10,Flexicute,2
336,10,renairenairenai,1
21525,10,akuryuus,114
21525,9,TheMangaReviewer,49
21525,10,PuruPyonn,48
21525,10,maegan_kk,41
21525,8,cryoftheraven13,22
21525,5,yalu12,15
21525,10,Snappynator,20
21525,5,spartiney,9
21525,9,romancelover1,15
21525,9,Zeatha,12
21525,9,Belelle,10
21525,10,AllIsManga,10
21525,5,lunahoney,2
21525,10,namename1,2
21525,10,Yon_Nyan,2
21525,9,Mayu-chan37,3
21525,10,VerballyStunted,3
21525,10,Anime_Addicted45,2
21525,10,amdxy,2
21525,10,Brittanymariew,2
21525,3,Antikollektivist,1
21525,7,PowerMetal,1
21525,10,BeniChan,2
21525,10,HakLee,1
21525,10,Dina_Naibaho,1
21525,8,VannillaIce,1
21525,10,Alpheata,1
21525,10,thinker25,1
21525,9,hlcrimsoniris,1
21525,10,Mina-dere,1
21525,10,awsedrft20,1
21525,10,littlebitofanime,0
21525,10,beecorrea,0
21525,10,koineization,0
21525,10,-Lupa-,0
21525,9,silentlibrarian,0
21525,4,sufflaminandus,0
21525,10,pikachu34,0
21525,7,LoyaltyDesu,0
23751,9,Schuruzay,8
14483,10,Kesser,156
14483,10,shubbing,48
14483,9,HiatusXHiatus,17
14483,8,Augustinsitu,9
14483,10,taffydmonkey,4
56805,9,ichigo2979,296
56805,9,Cryptic-senpai,213
56805,6,Meowsorz,162
56805,10,gust0717,115
56805,9,devilsfruitt,96
56805,4,Neizaru,67
56805,9,eskimoseb,53
56805,10,parttimeotaku97,21
56805,10,myjonpol,17
56805,10,LuciasFalkner,17
56805,10,jvmercado,17
56805,10,Lolipedophin,17
56805,10,CStrife91,16
56805,9,ren6,15
56805,10,El_Anciano,7
56805,9,Felix_Andersen,12
56805,9,fodderchara18,12
56805,9,pokeguy123,12
56805,10,OppaidragonB,7
56805,9,soumi_kun,11
56805,10,KingWithoutCrown,8
56805,10,EbiLChase,8
56805,8,HaXXspetten,10
56805,10,Mr_Miner,7
56805,10,RenaissanceOtaku,5
56805,10,Coldonylum,4
56805,6,wowsermax,8
56805,10,Dakuren,8
56805,8,Havoctheend,7
56805,7,Kingsman117,4
56805,9,phs_togusa,2
56805,8,ihatemal1234,5
56805,10,AlexanderEc,4
56805,9,PowerUpOrDie,3
56805,10,PopuraChan,4
56805,10,maxi4492,3
56805,10,mrtoycar,4
56805,10,Deanna_Woolfolk,4
56805,10,Jalterr,4
56805,5,Yato-Yaboku,3
56805,8,anarrowstrail,4
56805,8,Pwnobi,4
56805,8,paddyspens,4
56805,10,petong2hug,4
56805,9,Zurokyn,2
56805,8,Binex96,2
56805,9,Youkio,2
56805,8,RustyPenny,1
56805,10,Woeppa,1
56805,9,GOWhadsteen,2
56805,10,Shiroiwayagi,1
56805,9,atKatlin,2
56805,8,XanWasting,2
56805,9,HidamariSeashore,2
56805,8,dlonc,2
56805,8,RenzyBlood,2
56805,8,duylinhsss,1
56805,9,creampuffs,1
56805,8,Autastic,1
56805,7,Paraturtle,1
56805,9,Shylly,1
56805,7,Hime-han,0
56805,9,blushinggeek,0
56805,10,Introvert99,0
56805,10,trex19,0
56805,10,Renee96,0
56805,9,fazacc203,0
56805,9,Lemonattor,0
56805,10,IDKMike,0
56805,10,Salieri_Hiyajo,0
56805,10,Kannadin,0
56805,8,Zecis,0
56805,6,MondoX,0
56805,9,tyarados,0
56805,7,Malhavok,0
56805,6,ismichi,0
56805,9,Surana,0
56805,8,BeckyLemmeSmash,0
56805,8,KieranBako,0
56805,8,PowerMetal,0
56805,10,TheRenegader,0
1303,10,ClownOnACloud,76
1303,10,Ikazuchi93,53
1303,10,Hornpub,26
1303,10,mangareader123,15
1303,8,ghostcardinal,5
1303,9,KingHarkinian,3
1303,10,Rayyken,3
1303,9,DOWA,1
1303,9,Gundroog,0
1303,10,Brondi,0
90125,10,MetaThPr4h,141
90125,9,BlatantC,60
90125,10,ProtoDrive,32
90125,9,kronopy,36
90125,10,AmissArcher,7
90125,7,Bacchai,9
90125,9,lawofreflection,5
90125,9,CookieMann,5
90125,10,iMysteriousAura,3
90125,10,YourLeader,2
90125,10,Dandy-Furnace,2
90125,10,Sainan_no_kami,1
90125,10,LordMango,1
90125,8,rmqel,1
90125,10,red-eyed-slayer,2
90125,10,minhgane,1
90125,8,UltimateAdrian20,1
418,10,Aris18,181
418,10,Kynov,63
418,9,angelsreview,22
418,7,MustachedNinja,18
44347,10,tuqui,273
44347,9,Bantamz,121
44347,9,dc143c,63
44347,10,Tension-Tenshi,50
44347,9,DEIMOSLOL,30
44347,7,5camp,29
44347,4,OG_Guts,8
44347,8,SeaJaeger,21
44347,9,HaXXspetten,12
44347,10,Senior_Tybor,11
44347,5,sullynathan,4
44347,10,theothersophie,3
44347,10,Rampant,8
44347,8,hJ,8
44347,7,FarrelSal,7
44347,7,pedomudkip,6
44347,6,Pizzamorg,6
44347,9,Pastabeanchuu,6
44347,9,stanet96,6
44347,10,Salieri_Hiyajo,2
44347,8,PeaceMakerPain,2
44347,9,Shadostepz,4
44347,9,Hyoukami,4
44347,10,PharuanUndearth,1
44347,9,Julius_Light,1
44347,10,ReigenArataka,1
44347,9,Janniku9,0
44347,9,KnifeManofMD,0
44347,9,YourLeader,0
44347,9,Yaoo_Whee,0
44489,10,Derykasd,53
44489,9,fancyjasper,63
44489,5,youresquiddingme,39
44489,9,J_Kazue,34
44489,7,Revia,15
44489,9,Goombah,2
1859,10,StreetFighter,142
1859,9,sweeny,43
1859,8,ajessica,5
1859,9,setogirl2,4
100128,9,beckmn,136
100128,10,Daniel750,100
100128,9,crankyllama,65
100128,9,Werw,41
100128,10,UmairAamir,10
100128,7,VoydVoyd,6
100128,9,Chinaz,12
100128,9,Aileenam,8
100128,10,peanutbutters,8
100128,10,EricRasputin,4
100128,9,BillyShears,5
100128,8,BaileyHoldenFilm,5
100128,10,Anime4LifeBaby,6
100128,10,Hidenki,5
100128,10,Natsu24950,4
100128,9,Saphy_Potters,5
100128,9,Astruma,4
100128,9,littered,4
100128,10,Dyor,2
100128,9,NanakoYata,2
100128,10,N3SSART,3
100128,9,Hyundara,3
100128,10,JHAHunter,2
100128,8,MySonKillua,2
100128,9,YouAreLucky,1
100128,10,eunnies,1
100128,9,panch93,1
100128,10,Ken29687849,1
100128,10,alyhook2uzii,1
100128,8,DionaeaMuscipula,1
100128,10,Silmarien_Prince,1
100128,9,FarmerGirl,1
100128,10,Antora-chan,0
100128,10,Iplemons,0
100128,9,Gardia,0
100128,9,Folipurba,0
100128,8,AnotherCasualFan,0
642,10,Beatnik,400
642,10,kuglefang,110
642,10,Nervin,76
642,10,PowerUpOrDie,41
642,10,blazingraz36,21
642,10,Yung_Doug,21
642,10,Sorrow,19
642,9,seinenfag,10
642,10,Cheesegod,9
642,10,cwhits91,9
642,7,Jet_Nice_Guy,8
642,9,pratulbagri,8
642,10,VanAlex,7
642,3,Fro_Buntu77,7
642,10,JOHNCH3,5
642,6,animeBee1ver,5
642,10,AM_Woody,5
642,10,ManiacalBookUni,3
642,10,zombbiii,2
642,7,nutboal,1
642,10,KILLJONITAS,1
642,10,mertsi,2
642,10,Ankithadam,1
642,8,StevenCai,1
642,10,Megumins_Ass,1
642,10,Derenor,1
642,9,Rajaganja,1
642,10,rotcod1st,0
35243,10,daisies,90
35243,9,TAK3Z0,43
35243,8,Meshi_chan,18
35243,9,PikaGioma,17
35243,7,korisnik2007a,6
35243,10,sogegesoge,0
81669,10,ichii_1,120
81669,9,TheHonestThief,94
81669,9,ZackTyce,36
81669,4,taptothebeat,32
81669,9,duhu1148,3
81669,8,Zamics,2
21,10,kiriska,323
21,9,Xinil,274
21,4,Polyphemus,201
21,10,Neferium,145
21,8,AironicallyHuman,22
21,10,Sorrow,17
21,10,exabyte,15
21,10,ArcherKinao,14
21,8,Zagettrix,11
21,10,theaustincritic,11
21,10,miss-makai,10
21,10,KaiserSoul,9
21,8,oxana,9
21,9,Melodux,9
21,9,artblog2518,9
21,8,Chinaz,4
21,9,rokkugoh,8
21,6,Dietrologia,4
21,10,Animeted_love7,7
21,10,anbublackcops,7
21,10,Chenoan,6
21,10,Raddan,5
21,10,butthurtbrigade,3
21,8,Gundroog,2
21,7,Makkasu,4
21,10,Banquos_Ghost,4
21,10,123shala,4
21,10,XxXMangaluverXxX,4
21,10,flutterbaii_x,4
