manga_id,manga_name,manga_rank
1605,Shoukoku no Altair,648
10447,Getter Robo Go,649
17374,Himegimi to Sanbiki no Kemono,650
17541,Shinrei Tantei Yakumo,651
17552,Non Non Biyori,652
19357,Shinrei Tantei Yakumo,653
24380,Kokoro Connect,654
24412,Kingdom Hearts: 358/2 Days,655
26021,Hajimari no Niina,656
33671,Owari no Chronicle,657
37755,Saiki Kusuo no Ψ-nan,658
38105,Kase-san Series,659
40345,Dr. Frost,660
57249,Rengoku ni Warau,661
58145,Pinocchio,662
58237,Eien no 0,663
64087,Afterschool War Activities,664
67777,Kamisu Reina Series,665
72303,Douluo Dalu,666
81667,Overlord,667
93819,Owari no Seraph: Kyuuketsuki Mikaela no Monogatari,668
94200,Koushaku Reijou no Tashinami,669
103117,My Secret Brother,670
110604,Dokgo Rewind,671
407,Life,672
436,Uzumaki,673
509,Saiyuuki,674
877,Hana yori Dango,675
1216,Gokinjo Monogatari,676
3986,Deadman Wonderland,677
4584,Sasameki Koto,678
8094,Shin Tekken Chinmi,679
8878,Hetalia Axis Powers,680
13238,Kieli,681
21651,Hitori-tachi,682
35003,Yamada-kun to 7-nin no Majo,683
48397,No Game No Life,684
52043,Chichikogusa,685
57201,Rakudai Kishi no Cavalry,686
59893,Tanaka-kun wa Itsumo Kedaruge,687
72353,Mahou Shoujo Ikusei Keikaku,688
80719,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen,689
89085,Last Embryo,690
99446,Re:Zero kara Hajimeru Isekai Seikatsu Tanpenshuu,691
103280,Xun Zhao Qian Shi Zhi Lu,692
104491,Bokura no Shokutaku,693
375,Initial D,694
902,Hydra,695
3258,Haruka na Machi e,696
3576,Tobaku Haouden Zero,697
5685,Hakkenden: Touhou Hakken Ibun,698
7024,Kouya no Tenshidomo,699
11496,Code Geass: Hangyaku no Lelouch,700
11896,Reimei no Arcana,701
13495,Saiunkoku Monogatari,702
15521,Eden*,703
17465,Omoide Emanon,704
24563,Kamisama no Memochou,705
32735,Campione!,706
39625,Kagerou Daze,707
54897,Orange Marmalade,708
55163,Gakkougurashi!,709
55867,High☆Speed!,710
77577,Higurashi no Naku Koro ni Kai - Dai 4-wa: Matsuribayashi-hen,711
86870,"Uchi no Musume no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",712
88110,Fate/stay night: Heaven's Feel,713
102703,Doukyuusei: Gold Ring & Silver Ring,714
1360,Vampire Hunter D,715
3101,Deep Love: Pao no Monogatari,716
4368,Toradora!,717
5454,Golden Days,718
10270,Karneval,719
11176,Detective Conan,720
14268,Fukuyadou Honpo,721
20963,Planetarian: Chiisana Hoshi no Yume,722
28631,Saiyaku wa Boku wo Suki Sugiru,723
31651,Toaru Majutsu no Index SS,724
67645,Namaikizakari.,725
77573,Higurashi no Naku Koro ni Kai - Dai 2-wa: Tsumihoroboshi-hen,726
80091,Yahari Ore no Seishun Love Comedy wa Machigatteiru. @comic,727
85773,Fate/stay night: Garden of Avalon,728
89562,Tsubaki-chou Lonely Planet,729
90118,Tsuki ga Michibiku Isekai Douchuu,730
90174,Plastic Memories: Say to Good-bye,731
92509,IDOLiSH7,732
95964,Kekkai Sensen: Back 2 Back,733
100512,Kuma Kuma Kuma Bear,734
102146,Dame na Watashi ni Koishite Kudasai Returns,735
102330,Majo no Tabitabi,736
102980,Watashi no Shounen,737
104475,Kino no Tabi: The Beautiful World,738
105916,Kino no Tabi: The Beautiful World,739
110615,Arifureta Shokugyou de Sekai Saikyou Zero,740
11,Naruto,741
975,Ludwig Kakumei,742
1362,Hidamari Sketch,743
1951,Uragiri wa Boku no Namae wo Shitteiru,744
3438,Psyren,745
3574,Tobaku Datenroku Kaiji,746
6997,Clannad: Hikaru Mimamoru Sakamichi de,747
8848,Sun-Ken Rock,748
9705,Ginga Tetsudou 999 (1996),749
